id,firstname,lastname,email,Campus,Promo,Origine,Recrut_salon,moyenne,Abandon,contrat,ecole_origine,entreprise,duree_recrutement
506,Myriam,Lynn,Myriam.Lynn@supinfo.com,lille,2016,Cambodia,YES,7,"yes ",contrat pro,Dublin,microsoft,10
507,Mariann,Dulciana,Mariann.Dulciana@supinfo.com,lille,2020,Mauritania,YES,11,no,"alternance ",Kyoto,microsoft,6
508,Jany,Madelene,Jany.Madelene@supinfo.com,montpellier,2018,Yemen,NO,12,"yes ","stage ",Perth,google,7
509,Minda,Telfer,Minda.Telfer@supinfo.com,toulouse,2016,Mauritania,YES,14,"yes ",contrat pro,Lahore,google,5
510,Shannah,Freddi,Shannah.Freddi@supinfo.com,montpellier,2020,Kazakhstan,YES,12,"yes ","stage ",Adelaide,google,1
511,Valli,Standing,Valli.Standing@supinfo.com,nantes,2019,Belgium,YES,3,"yes ","alternance ",Thimphu,societe generale,4
512,Wilma,Magnolia,Wilma.Magnolia@supinfo.com,tour,2020,Luxembourg,YES,10,no,"stage ",Seville,bnp,5
513,Sybille,Sadowski,Sybille.Sadowski@supinfo.com,montpellier,2017,"Taiwan, Province of China",NO,4,"yes ","stage ",San Salvador,microsoft,3
514,Sean,Strephon,Sean.Strephon@supinfo.com,lille,2021,Sri Lanka,YES,11,no,contrat pro,Montreal,javista,7
515,Lacie,Saunderson,Lacie.Saunderson@supinfo.com,lyon,2017,Cuba,NO,16,"yes ","alternance ",Havana,oracle,9
516,Marcelline,Rebecka,Marcelline.Rebecka@supinfo.com,lyon,2017,Pakistan,NO,3,"yes ","alternance ",Timbuktu,ascenci,6
517,Yvonne,Jacinda,Yvonne.Jacinda@supinfo.com,tours,2019,United States,NO,18,"yes ","alternance ",Zürich,bnp,4
518,Gusty,Yate,Gusty.Yate@supinfo.com,tour,2018,Niger,YES,9,"yes ",contrat pro,Kuching,societe generale,9
519,Tina,Ellord,Tina.Ellord@supinfo.com,paris,2017,"Micronesia, Federated States of",YES,2,no,contrat pro,Whitehorse,javista,7
520,Dione,Ezar,Dione.Ezar@supinfo.com,toulouse,2017,Timor-Leste,NO,4,"yes ","stage ",Jacksonville,societe generale,8
521,Chloris,Sprage,Chloris.Sprage@supinfo.com,tours,2017,Norway,YES,15,"yes ","alternance ",Hat Yai,,5
522,Albertina,Tatianas,Albertina.Tatianas@supinfo.com,tours,2019,Slovakia,YES,2,no,contrat pro,Mérida,capgemini,10
523,Jorry,Sadowski,Jorry.Sadowski@supinfo.com,nantes,2016,Algeria,YES,7,no,contrat pro,Mandurah,google,1
524,Gertrud,Burch,Gertrud.Burch@supinfo.com,tour,2018,Bhutan,NO,15,"yes ","stage ",Hanoi,expanscience,10
525,Lesly,Rona,Lesly.Rona@supinfo.com,montpellier,2021,New Caledonia,NO,14,"yes ",contrat pro,Gaborone,oracle,1
526,Reeba,Ledah,Reeba.Ledah@supinfo.com,nantes,2020,India,YES,10,"yes ","stage ",Dubai,total,2
527,Paola,Kannry,Paola.Kannry@supinfo.com,montpellier,2019,Viet Nam,NO,9,"yes ","stage ",Albuquerque,oracle,1
528,Gwyneth,Ries,Gwyneth.Ries@supinfo.com,montpellier,2016,Brunei Darussalam,NO,9,"yes ","stage ",Handan,total,3
529,Tina,Astra,Tina.Astra@supinfo.com,nantes,2017,Luxembourg,NO,4,"yes ",contrat pro,Charlottetown,oracle,2
530,Gisela,Nelsen,Gisela.Nelsen@supinfo.com,tour,2016,Kyrgyzstan,NO,12,no,N/A,Hat Yai,orange,9
531,Paulita,Kannry,Paulita.Kannry@supinfo.com,paris,2018,Pakistan,NO,15,no,"alternance ",Philadelphia,cgi,10
532,Arabel,Charmine,Arabel.Charmine@supinfo.com,paris,2016,New Zealand,YES,16,no,contrat pro,Cannes,microsoft,3
533,Maurene,Daveta,Maurene.Daveta@supinfo.com,toulouse,2021,Tonga,NO,2,"yes ",contrat pro,Davao City,bouyges,6
534,Doralynne,Freddi,Doralynne.Freddi@supinfo.com,paris,2016,South Africa,YES,18,no,"alternance ",Kaesong,ascenci,3
535,Aubrie,Eugenia,Aubrie.Eugenia@supinfo.com,tour,2017,Western Sahara,NO,17,no,"stage ",Budapest,orange,6
536,Lynea,Wiener,Lynea.Wiener@supinfo.com,montpellier,2017,Niger,NO,8,no,"stage ",Nagpur,bnp,2
537,Penelopa,Chesna,Penelopa.Chesna@supinfo.com,tour,2016,Kuwait,NO,3,no,"alternance ",Macapá,societe generale,6
538,Roseline,Solitta,Roseline.Solitta@supinfo.com,lille,2016,Wallis and Futuna,NO,9,no,"stage ",Dalian,expanscience,7
539,Vonny,Raimondo,Vonny.Raimondo@supinfo.com,tours,2017,Brunei Darussalam,NO,10,no,contrat pro,Vilnius,capgemini,10
540,Chrystel,Eno,Chrystel.Eno@supinfo.com,montpellier,2018,RWANDA,YES,9,no,contrat pro,Birkirkara,oracle,4
541,Adriana,Rugen,Adriana.Rugen@supinfo.com,paris,2020,"Korea, Republic of",NO,11,"yes ",N/A,Siem Reap,bouyges,8
542,Suzette,Reneta,Suzette.Reneta@supinfo.com,nantes,2017,Bahamas,YES,5,"yes ",contrat pro,Samara,total,9
543,Netty,Fennessy,Netty.Fennessy@supinfo.com,tours,2016,Libyan Arab Jamahiriya,YES,16,"yes ",N/A,Cannes,javista,8
544,Kary,Fontana,Kary.Fontana@supinfo.com,montpellier,2021,Guadeloupe,NO,9,no,"alternance ",Andorra la Vella,google,10
545,Eolanda,Riordan,Eolanda.Riordan@supinfo.com,tour,2020,Malta,NO,4,"yes ","stage ",Bridgetown,orange,3
546,Fernande,Ellerey,Fernande.Ellerey@supinfo.com,lyon,2020,Egypt,YES,15,no,N/A,Dar es Salaam,total,9
547,Chickie,Shelba,Chickie.Shelba@supinfo.com,toulouse,2016,Zimbabwe,NO,9,"yes ","stage ",Frankfurt,bnp,6
548,Cassondra,Kaja,Cassondra.Kaja@supinfo.com,montpellier,2017,"Macedonia, The Former Yugoslav Republic of",NO,7,"yes ","stage ",Invercargill,societe generale,4
549,Elise,Aurelio,Elise.Aurelio@supinfo.com,toulouse,2021,Belgium,YES,6,no,"alternance ",Raleigh,societe generale,2
550,Kalina,Kronfeld,Kalina.Kronfeld@supinfo.com,tours,2020,Central African Republic,YES,4,no,contrat pro,Nice,bnp,7
551,Nariko,Danby,Nariko.Danby@supinfo.com,toulouse,2020,Guyana,YES,6,no,"alternance ",Fairbanks,capgemini,8
552,Mady,Bultman,Mady.Bultman@supinfo.com,tour,2017,Central African Republic,NO,6,"yes ","stage ",Osaka,bouyges,1
553,Ann-Marie,Hashim,Ann-Marie.Hashim@supinfo.com,tour,2018,Estonia,YES,11,no,contrat pro,Veracruz,societe generale,4
554,Gabi,Annice,Gabi.Annice@supinfo.com,montpellier,2019,Panama,NO,15,no,N/A,Tel Aviv,orange,10
555,Concettina,Aida,Concettina.Aida@supinfo.com,toulouse,2019,French Guiana,NO,5,"yes ","stage ",Dresden,bnp,2
556,Mellicent,Colbert,Mellicent.Colbert@supinfo.com,toulouse,2021,Croatia,YES,3,no,"stage ",Melbourne,ascenci,1
557,Meg,Brodench,Meg.Brodench@supinfo.com,toulouse,2019,Algeria,NO,9,no,"alternance ",Kaliningrad,google,2
558,Claresta,Wenoa,Claresta.Wenoa@supinfo.com,nantes,2021,Luxembourg,NO,6,no,N/A,Koulikoro,total,4
559,Sindee,Gert,Sindee.Gert@supinfo.com,lyon,2020,Mali,YES,18,no,N/A,Monrovia,google,9
560,Willetta,Thilda,Willetta.Thilda@supinfo.com,lyon,2019,Ireland,NO,11,no,"stage ",Yogyakarta (city),bouyges,7
561,Phedra,Weaks,Phedra.Weaks@supinfo.com,tours,2017,Hungary,NO,2,"yes ",contrat pro,Las Palmas de Gran Canaria,,4
562,Viki,Kellby,Viki.Kellby@supinfo.com,montpellier,2021,Eritrea,YES,15,no,"alternance ",Hat Yai,ascenci,2
563,Lynde,Rillings,Lynde.Rillings@supinfo.com,nantes,2016,Mexico,YES,6,no,"alternance ",Córdoba,bouyges,2
564,Georgina,Tyson,Georgina.Tyson@supinfo.com,lyon,2018,El Salvador,YES,7,"yes ",N/A,Kaliningrad,microsoft,7
565,Netty,Lalitta,Netty.Lalitta@supinfo.com,toulouse,2021,Bahrain,YES,14,no,"alternance ",Lucknow,total,2
566,Elfreda,Ardeha,Elfreda.Ardeha@supinfo.com,toulouse,2017,Estonia,NO,13,no,"stage ",Tirana,total,7
567,Malina,Delp,Malina.Delp@supinfo.com,tours,2018,Equatorial Guinea,NO,18,no,"alternance ",Yogyakarta (city),javista,9
568,Christian,Darrell,Christian.Darrell@supinfo.com,lyon,2020,Hong Kong,YES,8,no,N/A,São José dos Campos,,3
569,Valera,Breed,Valera.Breed@supinfo.com,nantes,2020,Venezuela,NO,6,no,"stage ",Fukuoka,total,6
570,Romona,Martguerita,Romona.Martguerita@supinfo.com,lyon,2018,Uruguay,YES,2,"yes ",N/A,Mecca,cgi,5
571,Brianna,Pauly,Brianna.Pauly@supinfo.com,paris,2021,"Virgin Islands, U.S.",NO,17,no,contrat pro,City of San Marino,capgemini,3
572,Oralee,Rosemary,Oralee.Rosemary@supinfo.com,paris,2021,"Cote D""Ivoire",YES,13,no,"alternance ",Tampere,bnp,9
573,Kylynn,Fiester,Kylynn.Fiester@supinfo.com,tour,2017,Belgium,YES,17,no,contrat pro,Chittagong,,5
574,Zsa Zsa,Romelda,Zsa Zsa.Romelda@supinfo.com,montpellier,2020,Costa Rica,NO,18,"yes ","alternance ",Lisbon,javista,6
575,Tonia,Cavan,Tonia.Cavan@supinfo.com,tour,2021,"Virgin Islands, U.S.",NO,7,no,"alternance ",Cairns,bnp,10
576,Audrie,Bergman,Audrie.Bergman@supinfo.com,lille,2018,Singapore,YES,5,no,N/A,Kandy,bnp,7
577,Charmaine,Joeann,Charmaine.Joeann@supinfo.com,montpellier,2018,Togo,NO,15,"yes ","alternance ",Fukuoka,societe generale,5
578,Alleen,Rillings,Alleen.Rillings@supinfo.com,lyon,2020,Timor-Leste,NO,5,no,"alternance ",Hagåtña,cgi,1
579,Corly,Arquit,Corly.Arquit@supinfo.com,paris,2021,Jordan,NO,10,"yes ",N/A,New Delhi,capgemini,2
580,Angela,Philoo,Angela.Philoo@supinfo.com,tour,2016,"Congo, The Democratic Republic of the",NO,15,no,"alternance ",Dunedin,oracle,2
581,Wilma,Alva,Wilma.Alva@supinfo.com,tours,2020,Saint Kitts and Nevis,YES,9,"yes ","stage ",Libreville,ascenci,5
582,Sindee,Hazlett,Sindee.Hazlett@supinfo.com,montpellier,2016,Armenia,YES,9,"yes ",N/A,Port Blair,capgemini,1
583,Shandie,Robertson,Shandie.Robertson@supinfo.com,lille,2019,Iraq,NO,3,no,"stage ",Bilbao,microsoft,5
584,Cassandra,Zenas,Cassandra.Zenas@supinfo.com,montpellier,2020,Viet Nam,YES,4,"yes ",N/A,Zhengzhou,,4
585,Jacenta,Payson,Jacenta.Payson@supinfo.com,montpellier,2021,Kenya,YES,14,"yes ",N/A,Antananarivo,total,7
586,Raina,Michella,Raina.Michella@supinfo.com,paris,2021,Maldives,NO,5,no,"alternance ",Bahía Blanca,oracle,8
587,Corene,Lilybelle,Corene.Lilybelle@supinfo.com,tour,2021,Benin,NO,7,no,"alternance ",Novosibirsk,microsoft,2
588,Alia,Fontana,Alia.Fontana@supinfo.com,lyon,2018,Tonga,NO,13,no,N/A,Nukus,expanscience,4
589,Dulcinea,Toni,Dulcinea.Toni@supinfo.com,paris,2020,Chile,YES,12,no,contrat pro,Hiroshima,capgemini,8
590,Damaris,Giule,Damaris.Giule@supinfo.com,tour,2018,French Polynesia,YES,9,no,"stage ",Brisbane,javista,5
591,Elora,Pitt,Elora.Pitt@supinfo.com,lyon,2020,French Polynesia,YES,18,"yes ","stage ",Kandy,microsoft,2
592,Adriana,Lumbard,Adriana.Lumbard@supinfo.com,lyon,2017,Mongolia,YES,6,"yes ",contrat pro,Manzini,,8
593,Libbie,Libna,Libbie.Libna@supinfo.com,nantes,2018,Bahamas,YES,15,no,"stage ",Belgrade,microsoft,4
594,Frances,Gilbertson,Frances.Gilbertson@supinfo.com,lyon,2021,Netherlands,YES,7,"yes ",N/A,Angra do Heroísmo,total,5
595,Katleen,Celestine,Katleen.Celestine@supinfo.com,lille,2018,Mozambique,YES,5,"yes ",contrat pro,Copenhagen,google,5
596,Dulcinea,Friede,Dulcinea.Friede@supinfo.com,montpellier,2018,Liechtenstein,YES,2,no,N/A,Kobe,javista,1
597,Miquela,Kiyoshi,Miquela.Kiyoshi@supinfo.com,nantes,2017,Bosnia and Herzegovina,NO,4,"yes ","alternance ",City of Halifax,google,8
598,Tami,Brittani,Tami.Brittani@supinfo.com,tour,2016,French Polynesia,YES,3,"yes ",contrat pro,Sacramento,microsoft,4
599,Rori,Hull,Rori.Hull@supinfo.com,lille,2020,Kiribati,NO,7,no,"alternance ",Andorra la Vella,bnp,8
600,Sheelagh,Vanni,Sheelagh.Vanni@supinfo.com,nantes,2020,Bermuda,YES,2,"yes ",contrat pro,Manaus,societe generale,8
601,Konstance,Hathaway,Konstance.Hathaway@supinfo.com,lyon,2021,Grenada,YES,4,"yes ",N/A,Stockholm,cgi,1
602,Pierette,Nerita,Pierette.Nerita@supinfo.com,lille,2019,Netherlands Antilles,NO,11,no,"alternance ",Miri,expanscience,6
603,Wendi,Ogren,Wendi.Ogren@supinfo.com,toulouse,2019,Kuwait,YES,2,"yes ",N/A,Iquique,capgemini,3
604,Viki,Hillel,Viki.Hillel@supinfo.com,lyon,2020,"Taiwan, Province of China",YES,17,no,"stage ",Denpasar,societe generale,1
605,Angela,Greyson,Angela.Greyson@supinfo.com,tour,2020,Cape Verde,YES,17,no,contrat pro,Saskatoon,orange,7
606,Viki,Olympium,Viki.Olympium@supinfo.com,tours,2018,Portugal,NO,12,"yes ",contrat pro,Surat,total,1
607,Fina,Evangelia,Fina.Evangelia@supinfo.com,lyon,2016,Iceland,NO,13,"yes ","stage ",Nagoya,cgi,10
608,Jillayne,Peti,Jillayne.Peti@supinfo.com,paris,2017,Bahamas,NO,9,no,"alternance ",Anchorage,bnp,6
609,Sidoney,Richers,Sidoney.Richers@supinfo.com,tour,2018,Cape Verde,NO,14,"yes ",contrat pro,Cardiff,societe generale,8
610,Flory,Bobbee,Flory.Bobbee@supinfo.com,tour,2018,Kuwait,YES,11,no,"stage ",Pyongyang,javista,8
611,Jenda,Cleo,Jenda.Cleo@supinfo.com,lille,2020,Trinidad and Tobago,NO,12,"yes ",N/A,Antananarivo,expanscience,6
612,Lizzie,Annabella,Lizzie.Annabella@supinfo.com,montpellier,2018,"Cote D""Ivoire",YES,2,"yes ",contrat pro,Mogadishu,bouyges,10
613,Regina,Loring,Regina.Loring@supinfo.com,toulouse,2020,"Tanzania, United Republic of",YES,7,no,"stage ",La Paz,ascenci,10
614,Tonia,Blase,Tonia.Blase@supinfo.com,lyon,2021,Panama,YES,10,"yes ",contrat pro,Ndola,bouyges,9
615,Merci,Lemuela,Merci.Lemuela@supinfo.com,lyon,2017,Cocos (Keeling) Islands,NO,8,"yes ","stage ",São Paulo,bouyges,6
616,Jan,Nelsen,Jan.Nelsen@supinfo.com,nantes,2016,Puerto Rico,NO,18,"yes ",contrat pro,La Paz,cgi,8
617,Nariko,Jeanne,Nariko.Jeanne@supinfo.com,lyon,2016,"Virgin Islands, British",YES,8,"yes ",N/A,Kaohsiung,orange,4
618,Katharina,Swanhildas,Katharina.Swanhildas@supinfo.com,tours,2016,Marshall Islands,YES,15,no,"alternance ",Manzini,capgemini,2
619,Gisela,Jehu,Gisela.Jehu@supinfo.com,nantes,2018,Lithuania,NO,7,no,"alternance ",Recife,bouyges,4
620,Ezmeralda,Regan,Ezmeralda.Regan@supinfo.com,lille,2019,Latvia,NO,2,"yes ",contrat pro,Kano,total,9
621,Sadie,Barbey,Sadie.Barbey@supinfo.com,tour,2016,"Macedonia, The Former Yugoslav Republic of",NO,14,no,N/A,São Tomé,bnp,6
622,Anthia,Jeanne,Anthia.Jeanne@supinfo.com,paris,2018,Reunion,YES,6,"yes ","stage ",Hangzhou,cgi,3
623,Alie,Romelda,Alie.Romelda@supinfo.com,lyon,2021,Iraq,YES,7,"yes ",N/A,Reykjavík,societe generale,7
624,Carlie,Romelda,Carlie.Romelda@supinfo.com,lyon,2017,Lebanon,NO,13,"yes ","alternance ",Pontianak,microsoft,8
625,Lexine,McLaughlin,Lexine.McLaughlin@supinfo.com,paris,2016,Jersey,YES,18,no,contrat pro,Jeddah,expanscience,6
626,Fidelia,Kiyoshi,Fidelia.Kiyoshi@supinfo.com,lille,2019,Saint Vincent and the Grenadines,YES,13,"yes ","stage ",Lima,,2
627,Ardenia,Zetta,Ardenia.Zetta@supinfo.com,nantes,2020,Georgia,YES,12,no,"stage ",Adana,oracle,7
628,Kelly,Arquit,Kelly.Arquit@supinfo.com,nantes,2021,"Tanzania, United Republic of",NO,11,no,contrat pro,Francistown,cgi,8
629,Paulita,Old,Paulita.Old@supinfo.com,nantes,2020,Falkland Islands (Malvinas),NO,7,no,contrat pro,Chongqing,orange,7
630,Kate,Roscoe,Kate.Roscoe@supinfo.com,lyon,2016,United Arab Emirates,YES,6,no,contrat pro,Taichung,bouyges,1
631,Dulce,Arvo,Dulce.Arvo@supinfo.com,paris,2018,"Korea, Republic of",NO,12,"yes ","alternance ",George Town,oracle,4
632,Leontine,Janene,Leontine.Janene@supinfo.com,paris,2018,Mexico,NO,9,"yes ",N/A,Ibadan,expanscience,1
633,Hollie,Ludewig,Hollie.Ludewig@supinfo.com,toulouse,2016,Cameroon,NO,4,"yes ",contrat pro,Brussels,oracle,1
634,Cyb,Lail,Cyb.Lail@supinfo.com,lille,2020,Algeria,NO,7,no,"alternance ",Philadelphia,expanscience,1
635,Dorothy,Gino,Dorothy.Gino@supinfo.com,lyon,2020,Oman,NO,4,no,N/A,Santa Cruz de Tenerife,cgi,9
636,Tabbatha,Pond,Tabbatha.Pond@supinfo.com,paris,2020,Bulgaria,YES,10,no,contrat pro,Port-au-Prince,cgi,10
637,Suzette,Ajay,Suzette.Ajay@supinfo.com,toulouse,2016,Martinique,NO,15,"yes ","stage ",Linz,orange,5
638,Fredericka,Corrine,Fredericka.Corrine@supinfo.com,nantes,2018,Myanmar,NO,14,"yes ","alternance ",Louisville,oracle,1
639,Eolanda,Swigart,Eolanda.Swigart@supinfo.com,lille,2019,Tunisia,YES,12,no,contrat pro,Avarua,google,8
640,Ardenia,Cath,Ardenia.Cath@supinfo.com,paris,2017,Madagascar,YES,15,no,"stage ",Charlotte,javista,3
641,Lulita,Timon,Lulita.Timon@supinfo.com,lyon,2017,Azerbaijan,YES,12,"yes ","alternance ",Cleveland,oracle,8
642,Tiffie,Bonucci,Tiffie.Bonucci@supinfo.com,tours,2018,Burkina Faso,YES,11,"yes ",N/A,Kingstown,ascenci,10
643,Priscilla,Duwalt,Priscilla.Duwalt@supinfo.com,lille,2017,Sierra Leone,YES,16,no,"alternance ",Doha,ascenci,8
644,Raquela,Atcliffe,Raquela.Atcliffe@supinfo.com,lyon,2021,Sao Tome and Principe,YES,3,"yes ","stage ",Mashhad,bouyges,1
645,Fred,Shuler,Fred.Shuler@supinfo.com,paris,2016,"Virgin Islands, U.S.",NO,12,no,"stage ",Cayenne,capgemini,4
646,Fidelia,Roxanna,Fidelia.Roxanna@supinfo.com,tour,2017,Greenland,YES,7,"yes ","alternance ",El Aaiún,bouyges,9
647,Lelah,Rossner,Lelah.Rossner@supinfo.com,lille,2019,Antarctica,YES,17,"yes ",N/A,Simferopol,microsoft,2
648,Suzette,Naor,Suzette.Naor@supinfo.com,lille,2020,Togo,YES,8,"yes ",N/A,Osaka,ascenci,10
649,Larine,Fink,Larine.Fink@supinfo.com,lille,2018,Mayotte,NO,9,"yes ","alternance ",Lviv,total,8
650,Lorie,Fink,Lorie.Fink@supinfo.com,nantes,2020,Ghana,NO,16,no,N/A,Shillong,javista,2
651,Riannon,Joseph,Riannon.Joseph@supinfo.com,montpellier,2018,Bosnia and Herzegovina,NO,8,"yes ","stage ",Kathmandu,expanscience,8
652,Evita,Randene,Evita.Randene@supinfo.com,montpellier,2020,Trinidad and Tobago,YES,7,"yes ","stage ",Montevideo,total,10
653,Tersina,Gemini,Tersina.Gemini@supinfo.com,nantes,2017,Cape Verde,NO,8,"yes ",contrat pro,Nizhny Novgorod,google,2
654,Phylis,Gemini,Phylis.Gemini@supinfo.com,montpellier,2018,Egypt,YES,14,no,N/A,Yaren District,expanscience,5
655,Cyb,Engdahl,Cyb.Engdahl@supinfo.com,lyon,2020,Algeria,NO,13,no,"alternance ",Bloemfontein,orange,9
656,Gabriellia,Milde,Gabriellia.Milde@supinfo.com,nantes,2019,Kazakhstan,YES,8,no,contrat pro,Odessa,total,3
657,Carree,Hilbert,Carree.Hilbert@supinfo.com,montpellier,2016,Japan,YES,10,no,"stage ",Lviv,bouyges,4
658,Roz,Ailyn,Roz.Ailyn@supinfo.com,nantes,2017,Togo,NO,7,"yes ","stage ",Bangkok,javista,5
659,Dede,Valoniah,Dede.Valoniah@supinfo.com,nantes,2017,Christmas Island,NO,12,no,N/A,Saint Petersburg,expanscience,9
660,Deedee,Jacqui,Deedee.Jacqui@supinfo.com,nantes,2020,Brazil,NO,6,no,contrat pro,Stanley,microsoft,10
661,Beverley,Schonfeld,Beverley.Schonfeld@supinfo.com,paris,2020,Hong Kong,YES,11,"yes ","stage ",Vancouver,ascenci,7
662,Priscilla,Prouty,Priscilla.Prouty@supinfo.com,nantes,2017,Argentina,YES,12,"yes ","alternance ",Djibouti (city),,6
663,Clarice,Herrera,Clarice.Herrera@supinfo.com,nantes,2017,Belarus,YES,17,"yes ","alternance ",Gaborone,capgemini,4
664,Alameda,Lunsford,Alameda.Lunsford@supinfo.com,paris,2019,Cayman Islands,NO,2,no,contrat pro,Norilsk,javista,7
665,Marylou,Penelopa,Marylou.Penelopa@supinfo.com,toulouse,2017,Armenia,YES,13,no,"alternance ",Honolulu,cgi,4
666,Arlina,Delp,Arlina.Delp@supinfo.com,nantes,2018,Cayman Islands,NO,14,"yes ",N/A,Tabriz,cgi,2
667,Tilly,Whiffen,Tilly.Whiffen@supinfo.com,lyon,2017,Slovakia,YES,15,no,contrat pro,Stepanakert,bouyges,1
668,Candi,Cornelia,Candi.Cornelia@supinfo.com,lille,2017,New Zealand,YES,16,no,"alternance ",Horta (Azores),cgi,3
669,Mureil,Joli,Mureil.Joli@supinfo.com,paris,2017,AndorrA,NO,12,"yes ",N/A,Ottawa,microsoft,10
670,Renie,Melony,Renie.Melony@supinfo.com,lille,2018,Germany,YES,5,"yes ",contrat pro,Changchun,,7
671,Ernesta,Ioab,Ernesta.Ioab@supinfo.com,lille,2021,Maldives,NO,11,no,N/A,Guangzhou,,6
672,Margarette,Frendel,Margarette.Frendel@supinfo.com,toulouse,2018,Cocos (Keeling) Islands,NO,6,no,"alternance ",Tunis,orange,2
673,Miquela,Brian,Miquela.Brian@supinfo.com,paris,2021,Ethiopia,YES,18,no,"alternance ",Brasília,,10
674,Brandise,Gillan,Brandise.Gillan@supinfo.com,toulouse,2019,Norway,YES,17,"yes ","stage ",Jinan,bnp,5
675,Albertina,Pozzy,Albertina.Pozzy@supinfo.com,nantes,2019,Bhutan,NO,7,no,"stage ",Hobart,ascenci,4
676,Cyb,Connelly,Cyb.Connelly@supinfo.com,toulouse,2021,Malta,NO,12,no,"alternance ",Rosario,total,9
677,Lonnie,Lauraine,Lonnie.Lauraine@supinfo.com,montpellier,2019,Romania,NO,11,no,"alternance ",Nantes,total,10
678,Brianna,Belanger,Brianna.Belanger@supinfo.com,paris,2017,Swaziland,NO,14,no,"stage ",Christchurch,total,4
679,Maud,Edison,Maud.Edison@supinfo.com,tours,2019,Oman,YES,8,no,contrat pro,Nukulaelae,expanscience,8
680,Ginnie,Fiann,Ginnie.Fiann@supinfo.com,montpellier,2018,Northern Mariana Islands,NO,13,"yes ","stage ",San Juan,ascenci,7
681,Lucille,Slifka,Lucille.Slifka@supinfo.com,toulouse,2017,Albania,NO,9,no,"stage ",Chaguanas,cgi,5
682,Angela,Tjon,Angela.Tjon@supinfo.com,lyon,2016,Libyan Arab Jamahiriya,YES,5,no,"stage ",Bilbao,bnp,10
683,Mathilda,Burnside,Mathilda.Burnside@supinfo.com,toulouse,2016,Cuba,YES,15,no,contrat pro,Enugu,ascenci,7
684,Kary,Libna,Kary.Libna@supinfo.com,paris,2016,Papua New Guinea,YES,10,no,"stage ",La Paz,microsoft,7
685,Kial,Lewes,Kial.Lewes@supinfo.com,tour,2021,RWANDA,YES,16,"yes ","stage ",Sana'a,ascenci,1
686,Addia,Ethban,Addia.Ethban@supinfo.com,nantes,2021,Trinidad and Tobago,YES,7,"yes ","stage ",Frankfurt,oracle,4
687,Minne,Larochelle,Minne.Larochelle@supinfo.com,nantes,2019,Myanmar,YES,3,no,"stage ",Ilhéus,microsoft,3
688,Hermione,Francyne,Hermione.Francyne@supinfo.com,lyon,2020,Chad,NO,6,no,contrat pro,Saipan,microsoft,9
689,Wanda,Monaco,Wanda.Monaco@supinfo.com,lille,2018,Mayotte,YES,11,no,"alternance ",Los Angeles,bnp,7
690,Violet,Marlie,Violet.Marlie@supinfo.com,nantes,2017,French Southern Territories,YES,6,"yes ","alternance ",Zamboanga City,total,7
691,Donnie,Brunell,Donnie.Brunell@supinfo.com,lyon,2019,Bhutan,NO,8,"yes ",contrat pro,Prague,total,4
692,Stacey,Rona,Stacey.Rona@supinfo.com,tour,2021,Liberia,NO,8,no,"alternance ",Cali,societe generale,8
693,Letizia,Callista,Letizia.Callista@supinfo.com,montpellier,2016,Timor-Leste,YES,3,no,contrat pro,Bandung,microsoft,8
694,Konstance,Cimbura,Konstance.Cimbura@supinfo.com,montpellier,2016,Jordan,NO,7,"yes ",N/A,Road Town,bnp,10
695,Elise,Quent,Elise.Quent@supinfo.com,paris,2019,Heard Island and Mcdonald Islands,NO,7,no,contrat pro,Puebla,societe generale,5
696,Malina,Georgy,Malina.Georgy@supinfo.com,montpellier,2017,Israel,YES,16,"yes ","stage ",Palembang,societe generale,4
697,Sophia,Westphal,Sophia.Westphal@supinfo.com,toulouse,2016,United Arab Emirates,NO,14,"yes ",N/A,Honolulu,,9
698,Xylina,Susannah,Xylina.Susannah@supinfo.com,montpellier,2018,Guam,YES,6,"yes ",N/A,Mendoza,oracle,4
699,Layla,Judye,Layla.Judye@supinfo.com,lyon,2017,Cook Islands,NO,15,"yes ",contrat pro,Vienna,ascenci,2
700,Emylee,Rooney,Emylee.Rooney@supinfo.com,lyon,2018,Zimbabwe,NO,17,no,"alternance ",Anadyr (town),bnp,8
701,Aeriela,Koziara,Aeriela.Koziara@supinfo.com,toulouse,2019,United States,NO,11,"yes ",N/A,Quetzaltenango,expanscience,1
702,Diena,Lissi,Diena.Lissi@supinfo.com,montpellier,2018,Algeria,YES,12,no,"stage ",Horta (Azores),ascenci,7
703,Joceline,Bow,Joceline.Bow@supinfo.com,tours,2018,Bhutan,YES,18,"yes ",contrat pro,Bishkek,expanscience,6
704,Jorry,Cadmar,Jorry.Cadmar@supinfo.com,toulouse,2018,Nauru,NO,18,no,"stage ",Denpasar,google,5
705,Tina,Travax,Tina.Travax@supinfo.com,nantes,2019,Slovenia,YES,3,"yes ","stage ",Mérida,ascenci,9
706,Demetris,Avi,Demetris.Avi@supinfo.com,tours,2018,Guinea-Bissau,YES,10,no,N/A,Rabat,expanscience,5
707,Regina,Urias,Regina.Urias@supinfo.com,lyon,2020,Armenia,NO,13,no,N/A,Almaty,bnp,9
708,Lucille,Carleen,Lucille.Carleen@supinfo.com,tour,2016,Qatar,YES,17,"yes ","alternance ",Porto Velho,google,8
